Epoch,Train Loss,Validation Loss
1,0.12216823154687881,0.11537683010101318
2,0.1160639278292656,0.11467758077196777
3,0.1135745570063591,0.11326809041202068
4,0.1137706916332245,0.10659447009675205
5,0.11089631128311157,0.10205008275806904
6,0.10861126405000687,0.10502600739710033
7,0.10598675870895385,0.10460555832833052
8,0.10312696051597595,0.10395849193446338
9,0.10215238100290298,0.10283785662613809
10,0.10455310654640197,0.09964114683680236
11,0.10264782571792602,0.09900687052868307
12,0.09974330443143845,0.09985434962436557
13,0.09841734796762466,0.09998100495431572
14,0.10228890264034271,0.10002144984900951
15,0.0979612375497818,0.10322564514353871
16,0.10064472430944443,0.09461110620759428
17,0.10079453206062317,0.09829414379782975
18,0.09834979814291,0.10088320053182542
19,0.10047837817668914,0.09816101589240134
20,0.09955309158563613,0.09904196625575423
