Epoch,Train Loss,Validation Loss
1,0.9858408111792344,0.954361155629158
2,0.9214679232010474,0.8484186828136444
3,0.7774316668510437,0.6586292088031769
4,0.5708447557229263,0.44528234004974365
5,0.39595165390234727,0.3894244283437729
6,0.3167910117369432,0.29021014273166656
7,0.29213155806064606,0.32946088165044785
8,0.28147696531735933,0.2908529117703438
9,0.26403073278757244,0.24123316258192062
10,0.277364215025535,0.25806184858083725
11,0.24965420365333557,0.24159204214811325
12,0.24138221373924842,0.21797821670770645
13,0.23983472012556517,0.21054695174098015
14,0.23110860815415016,0.1997622549533844
15,0.2314329628760998,0.2674257159233093
16,0.22594465200717634,0.2366671822965145
17,0.1943066234772022,0.17154194228351116
18,0.21336537828812233,0.16717378422617912
19,0.20058036423646486,0.21805693581700325
20,0.19404864311218262,0.19577700272202492
