Epoch,Train Loss,Validation Loss
1,0.9916383211429303,0.9667331725358963
2,0.9348399593279912,0.8733615726232529
3,0.7948515919538645,0.6398636996746063
4,0.5588475717948034,0.464259535074234
5,0.36620759734740627,0.29988356679677963
6,0.30303188470693737,0.3482680842280388
7,0.30317673087120056,0.27844712883234024
8,0.280186360845199,0.2953983321785927
9,0.264655107488999,0.24718767404556274
10,0.24797587096691132,0.30183980613946915
11,0.2504345763188142,0.27759817242622375
12,0.2503623389280759,0.22018000110983849
13,0.24573131478749788,0.21206289902329445
14,0.2275836582367237,0.23052049055695534
15,0.21928331943658683,0.25384820997714996
16,0.2258747758773657,0.17162814363837242
17,0.21243398579267356,0.21034927666187286
18,0.20460930466651917,0.2484411746263504
19,0.20816060442190903,0.17877597361803055
20,0.1962976994422766,0.2703576683998108
